video_id,youtube_url
8eyEFbhRgPU,https://www.youtube.com/watch?v=8eyEFbhRgPU
8iQ2gVpd6Mo,https://www.youtube.com/watch?v=8iQ2gVpd6Mo
8jtsUxg5TOI,https://www.youtube.com/watch?v=8jtsUxg5TOI
8v-eNjGs3WY,https://www.youtube.com/watch?v=8v-eNjGs3WY
8va89owg-Yw,https://www.youtube.com/watch?v=8va89owg-Yw
9-jaIj6BZMw,https://www.youtube.com/watch?v=9-jaIj6BZMw
92o3bnDY7Xc,https://www.youtube.com/watch?v=92o3bnDY7Xc
9A4B_2jWAsY,https://www.youtube.com/watch?v=9A4B_2jWAsY
9BD8DlZB5OQ,https://www.youtube.com/watch?v=9BD8DlZB5OQ
9BlUl19a4Qw,https://www.youtube.com/watch?v=9BlUl19a4Qw
9EY7l3oeTgQ,https://www.youtube.com/watch?v=9EY7l3oeTgQ
9I9zIJ66GiY,https://www.youtube.com/watch?v=9I9zIJ66GiY
9O-NeTv4XxE,https://www.youtube.com/watch?v=9O-NeTv4XxE
9Sh4Pl3IbBA,https://www.youtube.com/watch?v=9Sh4Pl3IbBA
9aQKbjXTIPs,https://www.youtube.com/watch?v=9aQKbjXTIPs
9cMl0BK6zrg,https://www.youtube.com/watch?v=9cMl0BK6zrg
9rZ8eZtuU2o,https://www.youtube.com/watch?v=9rZ8eZtuU2o
9zdFYnt9pmU,https://www.youtube.com/watch?v=9zdFYnt9pmU
A-hyyRv8ms8,https://www.youtube.com/watch?v=A-hyyRv8ms8
A3OpG6AeFRs,https://www.youtube.com/watch?v=A3OpG6AeFRs
ABHffvY32HU,https://www.youtube.com/watch?v=ABHffvY32HU
AFsG2JP3uyc,https://www.youtube.com/watch?v=AFsG2JP3uyc
AGq_Fn0bWEY,https://www.youtube.com/watch?v=AGq_Fn0bWEY
AOV67dbwdvg,https://www.youtube.com/watch?v=AOV67dbwdvg
APGfIJj1LHc,https://www.youtube.com/watch?v=APGfIJj1LHc
AUn_AqPMCy4,https://www.youtube.com/watch?v=AUn_AqPMCy4
