channel_id,video_id,channel_name,duration(sec),domain,link
UCupYemfrMPnIS1O38rd0u_w,sqkWxLLu2cs,Quraner Alo,2661,Quran Recitation,https://www.youtube.com/watch?v=sqkWxLLu2cs
UCupYemfrMPnIS1O38rd0u_w,vheAjEaUbHU,Quraner Alo,173,Quran Recitation,https://www.youtube.com/watch?v=vheAjEaUbHU
UCupYemfrMPnIS1O38rd0u_w,eP58u6HKzhU,Quraner Alo,3969,Quran Recitation,https://www.youtube.com/watch?v=eP58u6HKzhU
UCupYemfrMPnIS1O38rd0u_w,QaTKFL06zEI,Quraner Alo,2661,Quran Recitation,https://www.youtube.com/watch?v=QaTKFL06zEI
UCupYemfrMPnIS1O38rd0u_w,jxbpvP-0sCw,Quraner Alo,2594,Quran Recitation,https://www.youtube.com/watch?v=jxbpvP-0sCw
UCxStLx7yb96MGBfIMo20x7Q,N7om7BiLN38,Mizanur Rahman Azhari,62,Waz / Islamic Sermon,https://www.youtube.com/watch?v=N7om7BiLN38
UCxStLx7yb96MGBfIMo20x7Q,E1xMQMMBrzQ,Mizanur Rahman Azhari,61,Waz / Islamic Sermon,https://www.youtube.com/watch?v=E1xMQMMBrzQ
UCxStLx7yb96MGBfIMo20x7Q,BSKUW7OqB7s,Mizanur Rahman Azhari,70,Waz / Islamic Sermon,https://www.youtube.com/watch?v=BSKUW7OqB7s
UCxStLx7yb96MGBfIMo20x7Q,xEzHBzMm9zM,Mizanur Rahman Azhari,196,Waz / Islamic Sermon,https://www.youtube.com/watch?v=xEzHBzMm9zM
UCxStLx7yb96MGBfIMo20x7Q,tumwmXWwxpc,Mizanur Rahman Azhari,214,Waz / Islamic Sermon,https://www.youtube.com/watch?v=tumwmXWwxpc
UCLZLfy4DVTfpBpylslR_OPQ,X2Vj5j4w3N0,Nadir On The Go,340,Satire / Talk,https://www.youtube.com/watch?v=X2Vj5j4w3N0
UCivHZmJcD6mvSrpkI9k9htg,ShueOxUK2uo,Salman Muqtadir,301,Youth Talk / Slang,https://www.youtube.com/watch?v=ShueOxUK2uo
UCivHZmJcD6mvSrpkI9k9htg,Hsw1-yYH9wo,Salman Muqtadir,276,Youth Talk / Slang,https://www.youtube.com/watch?v=Hsw1-yYH9wo
UCivHZmJcD6mvSrpkI9k9htg,8zvhH1tNG2s,Salman Muqtadir,227,Youth Talk / Slang,https://www.youtube.com/watch?v=8zvhH1tNG2s
UCivHZmJcD6mvSrpkI9k9htg,nLp2a_GFcOM,Salman Muqtadir,181,Youth Talk / Slang,https://www.youtube.com/watch?v=nLp2a_GFcOM
UCivHZmJcD6mvSrpkI9k9htg,4sTsNXf6o2w,Salman Muqtadir,147,Youth Talk / Slang,https://www.youtube.com/watch?v=4sTsNXf6o2w
UCNnwsz3xerj_3fUmlbaQW1Q,4oeC9QBn5nc,Jhakanaka Project,501,Slang / Comedy,https://www.youtube.com/watch?v=4oeC9QBn5nc
UCygVqyCKdETSropEKKlTXgA,_miwDc0WJVo,The Idiots,102,Comedy Talk,https://www.youtube.com/watch?v=_miwDc0WJVo
UCygVqyCKdETSropEKKlTXgA,t1WFbaoD3PI,The Idiots,121,Comedy Talk,https://www.youtube.com/watch?v=t1WFbaoD3PI
UCfKnQQTjGNN8i8vrhPj-eeg,i9p3L9-J6E8,Facts and Fun BD,81,Casual Talk,https://www.youtube.com/watch?v=i9p3L9-J6E8
UCb-d2dCbEt_T-d3qf3oMICw,ceyLMgCjLYw,Khalid Farhan,321,Political Commentary / Analysis,https://www.youtube.com/watch?v=ceyLMgCjLYw
UCb-d2dCbEt_T-d3qf3oMICw,FUcFnRk1qSw,Khalid Farhan,77,Political Commentary / Analysis,https://www.youtube.com/watch?v=FUcFnRk1qSw
UCb-d2dCbEt_T-d3qf3oMICw,vDOua4KsitQ,Khalid Farhan,6592,Political Commentary / Analysis,https://www.youtube.com/watch?v=vDOua4KsitQ
UCb-d2dCbEt_T-d3qf3oMICw,h1iAaptxIvo,Khalid Farhan,4670,Political Commentary / Analysis,https://www.youtube.com/watch?v=h1iAaptxIvo
UCwIzJ_UWnn1Uc8d1H8nCuUA,h1iAaptxIvo,Enayet Chowdhury,4670,Talk & Social Commentary,https://www.youtube.com/watch?v=h1iAaptxIvo
UCwIzJ_UWnn1Uc8d1H8nCuUA,NNAhkR-bUxc,Enayet Chowdhury,6032,Talk & Social Commentary,https://www.youtube.com/watch?v=NNAhkR-bUxc
UCwIzJ_UWnn1Uc8d1H8nCuUA,6jj6DmYqJ3g,Enayet Chowdhury,5507,Talk & Social Commentary,https://www.youtube.com/watch?v=6jj6DmYqJ3g
UCwIzJ_UWnn1Uc8d1H8nCuUA,aLP0NeH5QF8,Enayet Chowdhury,4052,Talk & Social Commentary,https://www.youtube.com/watch?v=aLP0NeH5QF8
UCwIzJ_UWnn1Uc8d1H8nCuUA,sETAfQIXrJo,Enayet Chowdhury,5743,Talk & Social Commentary,https://www.youtube.com/watch?v=sETAfQIXrJo
UCz8RV3ySqP3SmgQFZzceVPg,oH7CO4AnfWg,Asad Noor,121,Satire / Social Commentary,https://www.youtube.com/watch?v=oH7CO4AnfWg
UCz8RV3ySqP3SmgQFZzceVPg,hl7vp0X_f3I,Asad Noor,4229,Satire / Social Commentary,https://www.youtube.com/watch?v=hl7vp0X_f3I
UCz8RV3ySqP3SmgQFZzceVPg,ZbAiQy5vnWw,Asad Noor,729,Satire / Social Commentary,https://www.youtube.com/watch?v=ZbAiQy5vnWw
UCz8RV3ySqP3SmgQFZzceVPg,y2w-CqvOD3o,Asad Noor,518,Satire / Social Commentary,https://www.youtube.com/watch?v=y2w-CqvOD3o
UCz8RV3ySqP3SmgQFZzceVPg,nQPx8pAAW3s,Asad Noor,1115,Satire / Social Commentary,https://www.youtube.com/watch?v=nQPx8pAAW3s
UCxbyDapSavjgvdtpcJ2BJKw,x2GXbKVRQuE,Rafsan The Chotobhai,140,Food & Casual Talk,https://www.youtube.com/watch?v=x2GXbKVRQuE
UCxbyDapSavjgvdtpcJ2BJKw,50hoijiWcFs,Rafsan The Chotobhai,1648,Food & Casual Talk,https://www.youtube.com/watch?v=50hoijiWcFs
UCxbyDapSavjgvdtpcJ2BJKw,UaA7fylrlhg,Rafsan The Chotobhai,2080,Food & Casual Talk,https://www.youtube.com/watch?v=UaA7fylrlhg
UCxbyDapSavjgvdtpcJ2BJKw,3V9Vnbc9RdY,Rafsan The Chotobhai,185,Food & Casual Talk,https://www.youtube.com/watch?v=3V9Vnbc9RdY
